SUBID	MAINDOWN	LAKEDATAID	AREA	PARREG	RIVLEN	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLOPE_MEAN	ICATCH	LAKE_DEPTH
3344	3466	0	20126085	1	5344	0	0.012984	0.126939	0.707577	0.143931	0.00857	5.3189	0.3	0
3396	3407	0	11121002	1	655	0.097416	0.010255	0.149942	0.741763	0.000623	0	5.0388	0.3	3.5
3407	3466	0	105518	1	269	0	0	0.867193	0.027361	0	0.105444	3.7845	0.3	0
3466	40556	0	23598378	1	8257	0	0.028875	0.170373	0.706004	0.08626	0.00849	6.9463	0.3	0
3558	3555	0	1543089	1	39	0.26062	0	0.004966	0.733328	0.001087	0	5.9819	0.3	3.5
3555	40556	0	1875964	1	1832	0	0	0.076656	0.914122	0.007888	0.001332	8.8788	0.3	0
3607	63931	0	15638732	1	6316	0	0.078028	0.009196	0.912776	0	0	8.3241	0.3	0
63804	63931	0	8537346	1	1579	0	0.067265	0.087785	0.768797	0.071901	0.00425	6.6684	0.3	0
63931	3564	0	17625031	1	135	0.192371	0.006547	0.086647	0.672578	0.037445	0.004413	6.8638	0.3	5
3564	3547	0	145644	1	233	0	0	0.349046	0.342194	0.257328	0.051431	2.6819	0.3	0
3581	3547	0	62619658	1	15399	0	0.031752	0.063555	0.841042	0.058557	0.005091	6.7378	0.318681147	0
3547	3594	0	6153197	1	795	0.134997	0	0.030931	0.81858	0.015492	0	9.6782	0.3	3.5
3594	40556	0	12262453	1	1124	0	0.043993	0.029505	0.901878	0.021983	0.002638	7.2346	0.3	0
40556	40541	0	35929196	1	29	0.042883	0.023274	0.09593	0.78325	0.049529	0.005131	7.2816	0.3	5.7
40541	3486	0	16323342	1	21	0.124261	0.003791	0.127857	0.741458	0.002516	0.000116	8.3345	0.3	5.7
3486	63794	0	10737384	1	2986	0	0.032067	0.227769	0.736858	0.001392	0.001915	7.8777	0.3	0
3361	3427	0	10708527	1	55	0.137417	0.002217	0.007446	0.799902	0.053018	0	5.3155	0.3	5.7
3427	3435	0	4807636	1	2726	0	0.062788	0.002545	0.929519	0.005149	0	8.8247	0.3	0
3435	3432	0	12162384	1	263	0.13318	0.003401	0.047132	0.766026	0.049219	0.001042	7.0165	0.3	10.4
3432	63794	0	17390284	1	7421	0	0.02244	0.145394	0.77699	0.046737	0.008441	7.7204	0.3	0
63794	63937	0	12594152	1	2260	0	0.020353	0.183638	0.784935	0.010127	0.000946	8.481	0.3	0
63938	63937	0	29130671	1	7250	0	0.076999	0.113629	0.791891	0.011674	0.005808	7.7468	0.3	0
63937	3532	0	72092	1	262	0	0	0.219728	0.777905	0.002366	0	2.6862	0.3	0
3532	3587	93043	10985162	1	81	0.200171	0	0.304046	0.490791	0.00293	0.002062	6.1822	0.3	5.7
3587	3606	0	2314510	1	1610	0	0	0.171923	0.710907	0.036555	0.080614	10.3166	0.3	0
