SUBID	PS_TYPE	PS_SOURCE	PS_VOL	PS_T1	FROMDATE	TODATE	PS_TPCONC	PS_TNCONC	PS_SPFRAC	PS_INFRAC
3344	0	3	0.001	800000000	0	0	0	0	0	0
3581	0	3	0.001	800000000	0	0	0	0	0	0
63938	0	3	0.001	800000000	0	0	0	0	0	0
3486	1	3	0.1	800000000	2001-04-01	2001-04-05	0	0	0	0
3486	1	3	0.1	800000000	2001-08-15	2001-08-20	0	0	0	0
3344	-1	1	-0.001	0	2001-01-01	1900-01-00	0	0	0	0
3581	-1	1	-0.001	0	2001-01-01	1900-01-00	0	0	0	0
63938	-1	1	-0.001	0	2001-01-01	1900-01-00	0	0	0	0
3486	-1	1	-0.1	0	2001-04-01	2001-04-05	0	0	0	0
3486	-1	1	-0.1	0	2001-08-15	2001-08-20	0	0	0	0
3486	3	0	236.8	0	0	0	0.58	16.87	0.4	0.7
3486	-1	1	-236.8	0	0	0	0	0	0	0
3532	1	0	767.1	0	0	0	0.21	31.43	0.5	0.9
3532	-1	2	-767.1	0	0	0	0	0	0	0
3581	1	0	46.5	0	0	0	0.35	26.1	0.5	0.9
3581	-1	2	-46.5	0	0	0	0	0	0	0
