DATE	crun	evap	upcpRF	upcpSF	temp	upepot	upevap	cout	rout	soim	sm13	upsmfp	snow	upcprc
UNITS	mm	mm	mm	mm	deg	mm	mm	m3/s	m3/s	mm	mm	-	mm	mm
2001-01-01	0.000E+00	0.000E+00	0.000E+00	1.015E+01	-3.740E+00	0.000E+00	0.000E+00	4.902E-09	5.086E+00	3.857E+02	3.857E+02	8.899E-01	8.892E+00	1.015E+01
2001-01-02	6.301E-02	0.000E+00	1.074E+00	2.408E+00	-1.300E-01	0.000E+00	0.000E+00	1.850E-03	4.996E+00	3.870E+02	3.870E+02	8.922E-01	1.121E+01	3.482E+00
2001-01-03	3.387E-01	1.597E-01	1.540E+00	8.085E-01	2.000E+00	1.106E-01	1.106E-01	9.367E-03	4.996E+00	3.915E+02	3.915E+02	8.996E-01	8.886E+00	2.348E+00
2001-01-04	8.333E-02	0.000E+00	1.263E-02	1.827E-02	5.000E-01	2.987E-06	2.987E-06	3.460E-03	5.003E+00	3.914E+02	3.914E+02	8.996E-01	8.895E+00	3.090E-02
2001-01-05	5.939E-01	1.605E-01	1.488E+00	8.036E-01	2.000E+00	1.070E-01	1.070E-01	1.706E-02	5.010E+00	3.954E+02	3.948E+02	9.057E-01	6.443E+00	2.291E+00
2001-01-06	1.909E+00	2.374E-01	5.181E+00	1.665E+00	2.630E+00	1.847E-01	1.847E-01	5.538E-02	5.043E+00	4.023E+02	4.001E+02	9.180E-01	4.212E+00	6.846E+00
2001-01-07	2.006E+00	2.892E-01	1.748E-01	3.370E-02	3.050E+00	2.458E-01	2.458E-01	7.245E-02	5.322E+00	4.037E+02	4.003E+02	9.207E-01	6.059E-01	2.085E-01
2001-01-08	1.556E+00	3.242E-01	2.079E-01	3.099E-02	3.330E+00	2.659E-01	2.659E-01	8.252E-02	5.685E+00	4.026E+02	4.003E+02	9.212E-01	1.009E-02	2.389E-01
2001-01-09	1.180E+00	1.512E-01	2.956E-01	1.708E-01	1.910E+00	9.869E-02	9.869E-02	1.011E-01	6.107E+00	4.015E+02	4.003E+02	9.213E-01	9.165E-02	4.664E-01
2001-01-10	8.873E-01	0.000E+00	0.000E+00	0.000E+00	-2.640E+00	0.000E+00	0.000E+00	1.204E-01	6.541E+00	4.006E+02	4.003E+02	9.213E-01	9.165E-02	0.000E+00
2001-01-11	7.046E-01	0.000E+00	2.111E-02	1.774E-01	-1.250E+00	0.000E+00	0.000E+00	1.379E-01	6.924E+00	3.999E+02	3.998E+02	9.213E-01	1.740E-01	1.985E-01
2001-01-12	5.698E-01	0.000E+00	0.000E+00	0.000E+00	-4.230E+00	0.000E+00	0.000E+00	1.522E-01	7.173E+00	3.994E+02	3.994E+02	9.204E-01	1.740E-01	0.000E+00
2001-01-13	4.641E-01	0.000E+00	0.000E+00	0.000E+00	-1.760E+00	0.000E+00	0.000E+00	1.631E-01	7.298E+00	3.989E+02	3.989E+02	9.193E-01	1.740E-01	0.000E+00
2001-01-14	3.816E-01	0.000E+00	0.000E+00	0.000E+00	-3.300E+00	0.000E+00	0.000E+00	1.714E-01	7.335E+00	3.985E+02	3.985E+02	9.182E-01	1.740E-01	0.000E+00
2001-01-15	3.139E-01	0.000E+00	0.000E+00	0.000E+00	-4.310E+00	0.000E+00	0.000E+00	1.774E-01	7.314E+00	3.982E+02	3.982E+02	9.173E-01	1.740E-01	0.000E+00
2001-01-16	2.655E-01	0.000E+00	0.000E+00	3.253E-02	-4.440E+00	0.000E+00	0.000E+00	1.818E-01	7.205E+00	3.979E+02	3.979E+02	9.165E-01	1.836E-01	3.253E-02
2001-01-17	2.450E-01	0.000E+00	0.000E+00	2.099E-01	-3.830E+00	0.000E+00	0.000E+00	1.853E-01	7.062E+00	3.977E+02	3.977E+02	9.159E-01	2.900E-01	2.099E-01
2001-01-18	2.268E-01	0.000E+00	1.009E-04	4.554E-02	-2.020E+00	0.000E+00	0.000E+00	1.879E-01	6.899E+00	3.975E+02	3.975E+02	9.153E-01	3.047E-01	4.564E-02
2001-01-19	2.203E-01	0.000E+00	4.423E-02	6.918E-01	-1.530E+00	0.000E+00	0.000E+00	1.909E-01	6.780E+00	3.973E+02	3.973E+02	9.149E-01	8.802E-01	7.360E-01
2001-01-20	2.338E-01	0.000E+00	1.527E-01	1.456E+00	-1.350E+00	0.000E+00	0.000E+00	1.956E-01	6.664E+00	3.974E+02	3.974E+02	9.147E-01	2.395E+00	1.609E+00
2001-01-21	2.130E-01	0.000E+00	3.118E-02	5.851E-01	-1.630E+00	0.000E+00	0.000E+00	1.995E-01	6.584E+00	3.973E+02	3.973E+02	9.142E-01	2.999E+00	6.163E-01
2001-01-22	2.190E-01	0.000E+00	6.726E-02	2.233E+00	-1.720E+00	0.000E+00	0.000E+00	2.042E-01	6.452E+00	3.973E+02	3.973E+02	9.139E-01	4.933E+00	2.300E+00
2001-01-23	2.174E-01	0.000E+00	1.131E-01	1.195E+00	-1.340E+00	0.000E+00	0.000E+00	2.093E-01	6.359E+00	3.973E+02	3.973E+02	9.137E-01	5.994E+00	1.308E+00
2001-01-24	6.293E-01	8.052E-02	1.215E+00	9.977E-01	1.300E+00	3.828E-02	3.828E-02	2.292E-01	6.248E+00	3.994E+02	3.993E+02	9.169E-01	5.401E+00	2.213E+00
2001-01-25	9.696E-01	1.610E-01	0.000E+00	0.000E+00	1.920E+00	1.198E-01	1.198E-01	2.557E-01	6.193E+00	4.011E+02	4.006E+02	9.190E-01	2.581E+00	0.000E+00
2001-01-26	1.109E+00	1.850E-01	2.364E-02	1.167E-02	2.100E+00	1.385E-01	1.385E-01	2.847E-01	6.108E+00	4.017E+02	4.011E+02	9.209E-01	5.926E-01	3.531E-02
2001-01-27	8.517E-01	3.713E-02	2.691E-02	2.850E-02	9.600E-01	3.632E-03	3.632E-03	3.043E-01	6.024E+00	4.012E+02	4.011E+02	9.199E-01	2.234E-01	5.541E-02
2001-01-28	6.577E-01	2.599E-03	5.040E-03	6.534E-03	6.800E-01	2.070E-05	2.070E-05	3.188E-01	5.910E+00	4.006E+02	4.006E+02	9.191E-01	2.234E-01	1.157E-02
2001-01-29	5.470E-01	0.000E+00	4.460E-02	1.492E-01	-5.300E-01	0.000E+00	0.000E+00	3.313E-01	5.790E+00	4.001E+02	4.001E+02	9.184E-01	3.209E-01	1.938E-01
2001-01-30	4.493E-01	0.000E+00	0.000E+00	0.000E+00	-2.330E+00	0.000E+00	0.000E+00	3.410E-01	5.670E+00	3.996E+02	3.996E+02	9.176E-01	3.209E-01	0.000E+00
2001-01-31	4.328E-01	0.000E+00	2.300E-01	2.193E+00	-1.430E+00	0.000E+00	0.000E+00	3.525E-01	5.546E+00	3.995E+02	3.995E+02	9.173E-01	2.112E+00	2.423E+00
2001-02-01	3.452E-01	0.000E+00	0.000E+00	5.273E-01	-5.880E+00	0.000E+00	0.000E+00	3.616E-01	5.427E+00	3.991E+02	3.991E+02	9.166E-01	2.542E+00	5.273E-01
2001-02-02	2.854E-01	0.000E+00	0.000E+00	6.073E-01	-1.005E+01	0.000E+00	0.000E+00	3.690E-01	5.287E+00	3.989E+02	3.989E+02	9.160E-01	3.134E+00	6.073E-01
2001-02-03	2.564E-01	0.000E+00	0.000E+00	3.315E-02	-1.476E+01	0.000E+00	0.000E+00	3.763E-01	5.169E+00	3.986E+02	3.986E+02	9.155E-01	3.134E+00	3.315E-02
2001-02-04	2.382E-01	0.000E+00	0.000E+00	5.586E-04	-1.659E+01	0.000E+00	0.000E+00	3.832E-01	4.976E+00	3.984E+02	3.984E+02	9.150E-01	3.134E+00	5.586E-04
2001-02-05	2.217E-01	0.000E+00	0.000E+00	2.458E+00	-1.606E+01	0.000E+00	0.000E+00	3.917E-01	4.791E+00	3.981E+02	3.981E+02	9.145E-01	5.528E+00	2.458E+00
2001-02-06	2.068E-01	0.000E+00	0.000E+00	3.156E+00	-4.760E+00	0.000E+00	0.000E+00	4.026E-01	4.658E+00	3.979E+02	3.979E+02	9.141E-01	8.599E+00	3.156E+00
2001-02-07	1.721E+00	5.409E-01	5.127E-03	0.000E+00	4.640E+00	5.028E-01	5.028E-01	4.791E-01	4.550E+00	4.034E+02	4.019E+02	9.229E-01	8.951E-01	5.127E-03
2001-02-08	2.244E+00	5.597E-01	4.700E+00	0.000E+00	4.760E+00	5.237E-01	5.237E-01	5.971E-01	4.499E+00	4.060E+02	4.023E+02	9.241E-01	0.000E+00	4.700E+00
2001-02-09	1.462E+00	0.000E+00	6.369E-03	3.698E-02	-1.130E+00	0.000E+00	0.000E+00	7.069E-01	4.509E+00	4.046E+02	4.023E+02	9.240E-01	2.173E-02	4.335E-02
