!! model=5.18.0; variable=cout; timestep=unknown; unit=m3/s; comment=Table with comp outflow subbasi in m3/s for map drawing;
SUBID,2001-2001
3344,1.061E-01
3396,4.411E-02
3407,4.474E-02
3466,2.671E-01
3558,3.817E-03
3555,1.306E-02
3607,6.749E-02
63804,3.876E-02
63931,1.289E-01
3564,1.296E-01
3581,2.998E-01
3547,4.407E-01
3594,4.957E-01
40556,9.064E-01
40541,9.281E-01
3486,9.822E-01
3361,3.620E-02
3427,5.971E-02
3435,9.325E-02
3432,1.818E-01
63794,1.226E+00
63938,1.277E-01
63937,1.354E+00
3532,1.346E+00
3587,1.355E+00
