!! model=5.18.0; variable=crun; timestep=unknown; unit=mm per year; comment=Table with computed runoff in mm per year for map drawing;
SUBID,2001-2001
3344,1.685E+02
3396,1.767E+02
3407,1.895E+02
3466,1.602E+02
3558,1.540E+02
3555,1.555E+02
3607,1.477E+02
63804,1.536E+02
63931,1.487E+02
3564,1.370E+02
3581,1.558E+02
3547,1.458E+02
3594,1.481E+02
40556,1.526E+02
40541,1.587E+02
3486,1.561E+02
3361,1.725E+02
3427,1.647E+02
3435,1.629E+02
3432,1.644E+02
63794,1.584E+02
63938,1.499E+02
63937,1.557E+02
3532,1.534E+02
3587,1.346E+02
