!! model=5.18.0; variable=evap; timestep=unknown; unit=mm per year; comment=Table with subbasin evaporation in mm per year for map drawing;
SUBID,2001-2001
3344,3.294E+02
3396,3.241E+02
3407,3.102E+02
3466,3.271E+02
3558,3.297E+02
3555,3.225E+02
3607,3.286E+02
63804,3.261E+02
63931,3.318E+02
3564,3.288E+02
3581,3.264E+02
3547,3.363E+02
3594,3.292E+02
40556,3.256E+02
40541,3.282E+02
3486,3.273E+02
3361,3.324E+02
3427,3.334E+02
3435,3.299E+02
3432,3.236E+02
63794,3.236E+02
63938,3.232E+02
63937,3.197E+02
3532,3.243E+02
3587,3.219E+02
