!! model=5.18.0; variable=rout; timestep=unknown; unit=m3/s; comment=Table with rec outflow subbasin in m3/s for map drawing;
SUBID,2001-2001
3344,-9.999E+03
3396,-9.999E+03
3407,-9.999E+03
3466,-9.999E+03
3558,-9.999E+03
3555,-9.999E+03
3607,-9.999E+03
63804,-9.999E+03
63931,-9.999E+03
3564,-9.999E+03
3581,-9.999E+03
3547,-9.999E+03
3594,-9.999E+03
40556,-9.999E+03
40541,-9.999E+03
3486,-9.999E+03
3361,-9.999E+03
3427,-9.999E+03
3435,-9.999E+03
3432,-9.999E+03
63794,-9.999E+03
63938,-9.999E+03
63937,-9.999E+03
3532,-9.999E+03
3587,2.452E+00
