!! model=5.18.0; variable=sm13; timestep=unknown; unit=mm; comment=Table with soil moisture sl 1-3 in mm for map drawing;
SUBID,2001-2001
3344,3.904E+02
3396,4.003E+02
3407,2.242E+02
3466,3.787E+02
3558,4.391E+02
3555,4.224E+02
3607,4.039E+02
63804,3.828E+02
63931,4.062E+02
3564,3.209E+02
3581,4.051E+02
3547,4.294E+02
3594,4.110E+02
40556,4.004E+02
40541,4.056E+02
3486,3.742E+02
3361,4.328E+02
3427,4.126E+02
3435,4.211E+02
3432,3.919E+02
63794,3.890E+02
63938,3.781E+02
63937,3.906E+02
3532,3.534E+02
3587,3.779E+02
