!! model=5.18.0; variable=snow; timestep=unknown; unit=mm water; comment=Table with snow pack in mm water for map drawing;
SUBID,2001-2001
3344,3.316E+00
3396,3.479E+00
3407,2.598E+00
3466,2.788E+00
3558,2.823E+00
3555,2.787E+00
3607,2.491E+00
63804,2.875E+00
63931,2.528E+00
3564,2.231E+00
3581,2.731E+00
3547,2.302E+00
3594,2.471E+00
40556,2.650E+00
40541,2.626E+00
3486,2.358E+00
3361,3.348E+00
3427,2.787E+00
3435,2.983E+00
3432,2.982E+00
63794,2.597E+00
63938,2.519E+00
63937,2.535E+00
3532,2.307E+00
3587,2.087E+00
