!! model=5.18.0; variable=soim; timestep=unknown; unit=mm; comment=Table with computed soil water in mm for map drawing;
SUBID,2001-2001
3344,3.932E+02
3396,4.027E+02
3407,2.248E+02
3466,3.843E+02
3558,4.394E+02
3555,4.227E+02
3607,4.179E+02
63804,3.948E+02
63931,4.079E+02
3564,3.212E+02
3581,4.111E+02
3547,4.297E+02
3594,4.190E+02
40556,4.050E+02
40541,4.067E+02
3486,3.803E+02
3361,4.336E+02
3427,4.244E+02
3435,4.222E+02
3432,3.963E+02
63794,3.929E+02
63938,3.917E+02
63937,3.910E+02
3532,3.538E+02
3587,3.782E+02
