!! model=5.18.0; variable=temp; timestep=unknown; unit=degree Celsius; comment=Table with air temperature in degree Celsius for map drawing;
SUBID,2001-2001
3344,6.110E+00
3396,6.019E+00
3407,6.161E+00
3466,6.286E+00
3558,6.234E+00
3555,6.234E+00
3607,6.410E+00
63804,6.208E+00
63931,6.417E+00
3564,6.598E+00
3581,6.299E+00
3547,6.656E+00
3594,6.471E+00
40556,6.302E+00
40541,6.373E+00
3486,6.568E+00
3361,6.141E+00
3427,6.380E+00
3435,6.220E+00
3432,6.171E+00
63794,6.357E+00
63938,6.338E+00
63937,6.362E+00
3532,6.474E+00
3587,6.664E+00
